milliseconds, ECG, ECG HR, PPG, PPG HR, SpO2, PI
1523629844327,589824,85,-56,-1,-1,0
1523629844327,393216,85,-56,-1,-1,0
1523629844327,327680,85,-56,-1,-1,0
1523629844327,458752,85,-56,-1,-1,0
1523629844327,458752,85,-56,-1,-1,0
1523629844390,524288,85,-56,-1,-1,0
1523629844390,524288,85,-56,-1,-1,0
1523629844390,524288,85,-56,-1,-1,0
1523629844390,524288,85,-56,-1,-1,0
1523629844390,524288,85,-56,-1,-1,0
1523629844407,524288,85,-56,-1,-1,0
1523629844407,524288,85,-56,-1,-1,0
1523629844407,589824,85,-56,-1,-1,0
1523629844407,589824,85,-56,-1,-1,0
1523629844407,393216,85,-56,-1,-1,0
1523629844447,262144,85,-56,-1,-1,0
1523629844447,196608,85,-56,-1,-1,0
1523629844447,196608,85,-56,-1,-1,0
1523629844447,196608,85,-56,-1,-1,0
1523629844447,262144,85,-56,-1,-1,0
1523629844487,393216,85,-56,-1,-1,0
1523629844487,524288,85,-56,-1,-1,0
1523629844487,589824,85,-56,-1,-1,0
1523629844487,655360,85,-56,-1,-1,0
1523629844487,720896,85,-56,-1,-1,0
1523629844527,655360,85,-56,-1,-1,0
1523629844527,589824,85,-56,-1,-1,0
1523629844527,720896,85,-56,-1,-1,0
1523629844527,720896,85,-56,-1,-1,0
1523629844527,524288,85,-56,-1,-1,0
1523629844567,262144,85,-56,-1,-1,0
1523629844567,-131072,85,-56,-1,-1,0
1523629844567,-1966080,85,-56,-1,-1,0
1523629844567,-5308416,85,-56,-1,-1,0
1523629844567,-7274496,85,-56,-1,-1,0
1523629844607,-4784128,85,-56,-1,-1,0
1523629844607,-262144,85,-56,-1,-1,0
1523629844607,2097152,85,-56,-1,-1,0
1523629844607,2097152,85,-56,-1,-1,0
1523629844607,1441792,85,-56,-1,-1,0
1523629844647,786432,85,-56,-1,-1,0
1523629844647,458752,85,-56,-1,-1,0
1523629844647,327680,85,-56,-1,-1,0
1523629844647,262144,85,-56,-1,-1,0
1523629844647,196608,85,-56,-1,-1,0
1523629844687,131072,85,-56,-1,-1,0
1523629844687,65536,85,-56,-1,-1,0
1523629844687,0,85,-56,-1,-1,0
1523629844687,-196608,85,-56,-1,-1,0
1523629844687,-393216,85,-56,-1,-1,0
1523629844727,-458752,85,-56,-1,-1,0
1523629844727,-589824,85,-56,-1,-1,0
1523629844727,-720896,85,-56,-1,-1,0
1523629844727,-851968,85,-56,-1,-1,0
1523629844727,-1048576,85,-56,-1,-1,0
1523629844767,-1376256,85,-56,-1,-1,0
1523629844767,-1769472,85,-56,-1,-1,0
1523629844767,-2162688,85,-56,-1,-1,0
1523629844767,-2424832,85,-56,-1,-1,0
1523629844767,-2621440,85,-56,-1,-1,0
1523629844807,-2752512,85,-56,-1,-1,0
1523629844807,-2686976,85,-56,-1,-1,0
1523629844807,-2359296,85,-56,-1,-1,0
1523629844807,-1966080,85,-56,-1,-1,0
1523629844807,-1441792,85,-56,-1,-1,0
1523629844847,-983040,85,-56,-1,-1,0
1523629844847,-589824,85,-56,-1,-1,0
1523629844847,-262144,85,-56,-1,-1,0
1523629844847,-65536,85,-56,-1,-1,0
1523629844847,131072,85,-56,-1,-1,0
1523629844887,262144,85,-56,-1,-1,0
1523629844887,327680,85,-56,-1,-1,0
1523629844887,393216,85,-56,-1,-1,0
1523629844887,393216,85,-56,-1,-1,0
1523629844887,327680,85,-56,-1,-1,0
